variant,model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall
text_no_lemma_stem_with_stopwords,LogisticRegression,0.5415793151642209,0.4341543368402759,0.4396341397137247,0.4407115633514295,0.5625046756130211,0.5926331069411401,0.5415793151642209
text_no_lemma_stem_with_stopwords,LogisticRegression,0.5415793151642209,0.4341543368402759,0.4396341397137247,0.4407115633514295,0.5625046756130211,0.5926331069411401,0.5415793151642209
text_lemma_no_stem_with_stopwords,LogisticRegression,0.5143256464011181,0.42403924762010314,0.4409225398546723,0.43709761283613435,0.5420826024515605,0.5915321042518829,0.5143256464011181
text_lemma_no_stem_with_stopwords,LogisticRegression,0.5143256464011181,0.42403924762010314,0.4409225398546723,0.43709761283613435,0.5420826024515605,0.5915321042518829,0.5143256464011181
text_no_lemma_no_stem_with_stopwords,LogisticRegression,0.5206149545772187,0.42361409222163154,0.4393514524014955,0.43290190010605606,0.5480058138049496,0.5936364392784208,0.5206149545772187
text_no_lemma_no_stem_with_stopwords,LogisticRegression,0.5206149545772187,0.42361409222163154,0.4393514524014955,0.43290190010605606,0.5480058138049496,0.5936364392784208,0.5206149545772187
text_lemma_stem_with_stopwords,LogisticRegression,0.5017470300489169,0.41508084636756276,0.4339998711638076,0.4290232587844585,0.5317908214631023,0.586631603012746,0.5017470300489169
text_lemma_stem_with_stopwords,LogisticRegression,0.5017470300489169,0.41508084636756276,0.4339998711638076,0.4290232587844585,0.5317908214631023,0.586631603012746,0.5017470300489169
text_no_lemma_no_stem_no_stopwords,LogisticRegression,0.42557651991614254,0.37316802509043967,0.417306006104198,0.398317869593474,0.4683154725213198,0.5742077386834629,0.42557651991614254
text_no_lemma_no_stem_no_stopwords,LogisticRegression,0.42557651991614254,0.37316802509043967,0.417306006104198,0.398317869593474,0.4683154725213198,0.5742077386834629,0.42557651991614254
text_no_lemma_stem_no_stopwords,LogisticRegression,0.4116002795248078,0.36543899758574666,0.4080074166206007,0.39203604495050537,0.45669780266834903,0.5741459640225768,0.4116002795248078
text_no_lemma_stem_no_stopwords,LogisticRegression,0.4116002795248078,0.36543899758574666,0.4080074166206007,0.39203604495050537,0.45669780266834903,0.5741459640225768,0.4116002795248078
text_lemma_stem_no_stopwords,LogisticRegression,0.40810621942697417,0.3589054525094455,0.4026301226572501,0.38734502622278694,0.45181326021011814,0.567227615164906,0.40810621942697417
text_lemma_stem_no_stopwords,LogisticRegression,0.40810621942697417,0.3589054525094455,0.4026301226572501,0.38734502622278694,0.45181326021011814,0.567227615164906,0.40810621942697417
text_lemma_no_stem_no_stopwords,LogisticRegression,0.40810621942697417,0.3576539392081472,0.4023680230664741,0.3826405177908348,0.4532665601201312,0.5682060837621404,0.40810621942697417
text_lemma_no_stem_no_stopwords,LogisticRegression,0.40810621942697417,0.3576539392081472,0.4023680230664741,0.3826405177908348,0.4532665601201312,0.5682060837621404,0.40810621942697417
