column,embedding_model,accuracy,precision,recall,f1_score
text,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_no_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_with_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_no_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_no_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_no_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_with_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_with_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_with_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_no_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_with_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_no_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_no_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_with_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_with_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_with_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_with_stopwords,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text,distilroberta,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_no_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_with_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_no_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_no_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_no_stem_no_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_no_lemma_stem_with_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_no_stem_with_stopwords,mpnet,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
text_lemma_stem_no_stopwords_model,3,0.6470999301187981,0.4187383195597533,0.6470999301187981,0.5084552696563488
